# The exercise catalogue every workout is built from.
#
# Sessions are assembled from these rows by WorkoutPlanner, not written by the
# model. A generated plan can hallucinate an exercise, prescribe 40 reps of
# something nobody should do 40 reps of, or return nothing at all on a bad day;
# a table cannot. The model's job in this feature is the coaching sentence, and
# only that.
#
# Format, pipe-delimited, one exercise per line:
#
#   key|name|pattern|target|equipment|level|unit|base_reps|cue
#
# key         Stable identifier. Referenced by workout_session_exercise, so
#             renaming one silently rewrites what old sessions say the user did.
#             Add a new row instead.
# pattern     squat | hinge | push | pull | core | cardio | mobility
#             The load-bearing column. It is what lets the planner fill a
#             balanced session, and what makes the Replace sheet's promise --
#             "each of these keeps the same job in your session" -- literally
#             true rather than marketing. Alternatives are drawn from the same
#             pattern at the same or lower equipment tier.
# equipment   none | bands | dumbbells | gym
#             What you must HAVE to do this. A user's answer is a set; a row is
#             offered only if its single requirement is in that set. "none" is
#             therefore always available, which is what keeps a kit-less
#             beginner from getting a short session full of empty slots.
# level       beginner | intermediate | advanced
#             The MINIMUM level. An intermediate user can be given beginner
#             rows; a beginner is never given intermediate ones.
# unit        reps | sec | each_side
#             A plank prescribed as "30 reps" is wrong in a way no amount of
#             number-tuning fixes.
# base_reps   The beginner-baseline dose. WorkoutPlanner scales it by level and
#             by how the last sessions were rated, so this is a starting point
#             and not a prescription.
# cue         One sentence, shown only once the exercise is in front of you.
#             The single thing most likely to keep the movement safe.
#
# INVARIANT, enforced by WorkoutCatalogTest: every pattern has at least one
# equipment=none, level=beginner row. Break it and a beginner with no equipment
# gets a session that is quietly short rather than one that fails loudly.

bodyweight_squat|Bodyweight Squat|squat|Legs and Glutes|none|beginner|reps|12|Sit back like there is a chair behind you and keep your knees tracking over your toes.
box_squat|Box Squat|squat|Legs and Glutes|none|beginner|reps|10|Touch the seat lightly and stand back up. Do not drop onto it.
split_squat|Split Squat|squat|Legs and Glutes|none|intermediate|each_side|8|Most of your weight on the front foot. The back leg is a kickstand.
reverse_lunge|Reverse Lunge|squat|Legs and Glutes|none|intermediate|each_side|10|Step back rather than forward so the front knee stays calm.
goblet_squat|Goblet Squat|squat|Legs and Glutes|dumbbells|beginner|reps|10|Hold the weight against your chest and let it counterbalance you.
dumbbell_lunge|Dumbbell Lunge|squat|Legs and Glutes|dumbbells|intermediate|each_side|8|Lower straight down. Your back knee should nearly touch the floor.
band_squat|Banded Squat|squat|Legs and Glutes|bands|beginner|reps|12|Push your knees out against the band the whole way down and up.
leg_press|Leg Press|squat|Legs and Glutes|gym|beginner|reps|12|Stop just short of locking your knees at the top.
barbell_squat|Barbell Back Squat|squat|Legs and Glutes|gym|advanced|reps|8|Brace as if bracing for a punch before every single rep.
bulgarian_split_squat|Bulgarian Split Squat|squat|Legs and Glutes|gym|advanced|each_side|8|Rear foot elevated. Keep the front shin close to vertical.

glute_bridge|Glute Bridge|hinge|Glutes and Hamstrings|none|beginner|reps|12|Squeeze at the top for a full second before lowering.
hip_hinge|Standing Hip Hinge|hinge|Hamstrings and Back|none|beginner|reps|12|Push your hips back, not down. Your shins stay near vertical.
single_leg_bridge|Single Leg Glute Bridge|hinge|Glutes and Hamstrings|none|intermediate|each_side|10|Keep your hips level. Do not let the free side drop.
nordic_negative|Nordic Curl Negative|hinge|Hamstrings|none|advanced|reps|5|Lower as slowly as you can control, then push back with your hands.
dumbbell_rdl|Dumbbell Romanian Deadlift|hinge|Hamstrings and Glutes|dumbbells|beginner|reps|10|Weights stay close to your legs. Stop when your hamstrings say so.
dumbbell_hip_thrust|Dumbbell Hip Thrust|hinge|Glutes|dumbbells|intermediate|reps|12|Tuck your chin and finish with your ribs down, not flared.
